📺央视频道,#genre#
CCTV-5+,http://45.192.97.170:8880/play/6.m3u8
CCTV-8,http://69.30.245.50/live/cctv8.m3u8
CCTV-11,http://45.192.97.170:8880/play/12.m3u8
CCTV-15,http://45.192.97.170:8880/play/16.m3u8
CCTV-14,http://45.192.97.170:8880/play/15.m3u8
CCTV-1,http://69.30.245.50/live/cctv1.m3u8
CCTV-3,http://69.30.245.50/live/cctv3.m3u8
CCTV-6,http://69.30.245.50/live/cctv6.m3u8
CCTV-4,http://69.30.245.50/live/cctv4.m3u8
CCTV-5,http://69.30.245.50/live/cctv5.m3u8
CCTV-7,http://69.30.245.50/live/cctv7.m3u8
CCTV-9,http://69.30.245.50/live/cctv9.m3u8
CCTV-10,http://69.30.245.50/live/cctv10.m3u8
CCTV-12,http://45.192.97.170:8880/play/13.m3u8
CCTV-13,http://45.192.97.170:8880/play/14.m3u8
CCTV-17,http://45.192.97.170:8880/play/17.m3u8
CCTV-2,http://69.30.245.50/live/cctv2.m3u8
CCTV-16,http://183.11.239.36:808/hls/169/index.m3u8
CGTN,http://219.135.171.213:7788/609017205
CGTN Documentary,https://amg00405-rakutentv-cgtndocumentary-rakuten-0ql8j.amagi.tv/master.m3u8
老故事,http://219.135.171.213:7788/884121956
CHC家庭影院,http://61.162.52.6:8088/newlive/live/hls/60/live.m3u8
📡卫视频道,#genre#
北京卫视,http://219.135.171.213:7788/630287636
天津卫视,http://112.27.235.94:8000/hls/42/index.m3u8
河北,https://event.pull.hebtv.com:443/live/live101.m3u8
山西卫视,http://112.27.235.94:8000/hls/45/index.m3u8
内蒙古卫视,http://112.27.235.94:8000/hls/49/index.m3u8
辽宁卫视,http://219.135.171.213:7788/630291707
吉林卫视,http://219.135.171.213:7788/947472500
黑龙江卫视,http://219.135.171.213:7788/738906901
东方卫视,http://219.135.171.213:7788/651632648
江苏卫视,http://219.135.171.213:7788/623899368
浙江卫视,http://112.27.235.94:8000/hls/29/index.m3u8
安徽卫视,http://112.27.235.94:8000/hls/26/index.m3u8
东南卫视,http://219.135.171.213:7788/849116810
江西卫视,http://219.135.171.213:7788/783847495
山东卫视,http://112.27.235.94:8000/hls/34/index.m3u8
河南卫视,http://219.135.171.213:7788/790187291
湖北卫视,http://219.135.171.213:7788/947472496
湖南卫视,http://112.27.235.94:8000/hls/31/index.m3u8
广东卫视,http://219.135.171.213:7788/608831231
深圳卫视,http://112.27.235.94:8000/hls/33/index.m3u8
三沙卫视,http://219.135.171.213:7788/961023778
海南卫视,http://219.135.171.213:7788/947472502
四川卫视,http://112.27.235.94:8000/hls/35/index.m3u8
贵州卫视,http://61.136.172.236:9901/tsfile/live/0120_1.m3u8
西藏卫视,http://183.11.239.36:808/hls/64/index.m3u8
新疆卫视,http://183.11.239.36:808/hls/65/index.m3u8
海峡卫视,http://219.135.171.213:7788/849119120
翡翠台,http://r.jdshipin.com/qrfbg
明珠台,http://r.jdshipin.com/ZQ4kN
☘️上海频道,#genre#
☘️江苏频道,#genre#
南京新闻综合,http://nklive.nbs.cn/hls/d511bc9d-a694-4453-b3a2-4fc842cc97a1/index.m3u8
南京教科,http://nklive.nbs.cn/hls/75b3c462-b831-4de7-a34b-5d3221db2069/index.m3u8
靖宇,http://stream8.jlntv.cn/jytv/sd/live.m3u8?zjild
柳河,http://stream5.jlntv.cn/lh/sd/live.m3u8?zjild
苏州新闻综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州生活资讯,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8
苏州,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
苏州社会经济,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
苏州文化生活,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
靖江新闻綜合 [Not 24/7],http://visit.jjbctv.com:1935/live/xwzhmb/playlist.m3u8
☘️浙江频道,#genre#
浙江卫视,http://112.27.235.94:8000/hls/29/index.m3u8
浙江钱江频道,http://ali-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8\r\n
浙江休闲台,http://ali-m-l.cztv.com/channels/lantian/channel006/720p.m3u8
中国蓝新闻,http://ali-m-l.cztv.com/channels/lantian/channel009/1080p.m3u8
绍兴公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
象山综合,http://play-sh13.quklive.com/live/1702360350551252.m3u8?auth_key=2037107484-800189c57a5a44d3b823b60cf84f6756-0-a6f6828a62d5c167cff5e68735fa0d39
☘️安徽频道,#genre#
安徽卫视,http://112.27.235.94:8000/hls/26/index.m3u8
安徽综艺体育,http://112.27.235.94:8000/hls/25/index.m3u8
合肥新闻,http://112.27.235.94:8000/hls/18/index.m3u8
固镇新闻,http://www.guzhenm.com:7001/hls/hd-live.m3u8
铜陵新闻综合,https://ls.qingting.fm/live/21303/64k.m3u8
祁门综合,http://zbbf2.ahbztv.com/live/416.m3u8?zanhd
☘️福建频道,#genre#
东南卫视,http://219.135.171.213:7788/849116810
三明新闻综合,https://ls.qingting.fm/live/5022100/64k.m3u8
桦甸,http://stream10.jlntv.cn/huadian/sd/live.m3u8?zjild
云霄综合,https://live.zzyxxw.com:2443/live/xwzh.m3u8
☘️江西频道,#genre#
江西卫视,http://219.135.171.213:7788/783847495
☘️山东频道,#genre#
山东卫视,http://112.27.235.94:8000/hls/34/index.m3u8
☘️重庆频道,#genre#
江津新闻综合,http://222.179.155.21:1935/ch1.m3u8
☘️四川频道,#genre#
四川卫视,http://112.27.235.94:8000/hls/35/index.m3u8
延边新闻综合 [Geo-blocked],https://stream2.jlntv.cn/jlyb/sd/live.m3u8
乐至综合,http://175.155.106.72:89/live1/live1.m3u8?zsicd
☘️贵州频道,#genre#
贵州卫视,http://61.136.172.236:9901/tsfile/live/0120_1.m3u8
安顺新闻,https://ls.qingting.fm/live/5022203/64k.m3u8
☘️云南频道,#genre#
☘️陕西频道,#genre#
河南新闻,http://1.94.31.214/php/hntv.php?id=hnxw
☘️甘肃频道,#genre#
☘️青海频道,#genre#
☘️宁夏频道,#genre#
☘️新疆频道,#genre#
新疆卫视,http://183.11.239.36:808/hls/65/index.m3u8
白城新闻综合 [Geo-blocked],https://stream2.jlntv.cn/baicheng1/sd/live.m3u8
伊犁维吾尔,http://110.153.180.106:55555/out_2/index.m3u8?zxinjd
奎屯汉语,http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd
☘️广东频道,#genre#
广东卫视,http://219.135.171.213:7788/608831231
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3
深圳卫视,http://112.27.235.94:8000/hls/33/index.m3u8
南国都市,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4
☘️广西频道,#genre#
广西国际,https://hlscdn.liangtv.cn/live/0234c48e0bc24fe1b41b9999a253e581/1075ee38e04f490690f6a36a16e09c79.m3u8
象山综合,http://play-sh13.quklive.com/live/1702360350551252.m3u8?auth_key=2037107484-800189c57a5a44d3b823b60cf84f6756-0-a6f6828a62d5c167cff5e68735fa0d39
